case_id,cohort,sector_profile,organization_profile,vestigingsnummer,naam,gemeente,adres,sbi_code,kvk_nummer,gevraagd_jaar,expected_routes,known_pitfall,legacy_wp_hint,expected_wp,expected_unit,expected_scope,expected_outcome,verification_status,reviewer,review_date,notes
legacy-v001,legacy_mixed,zorg_institutioneel,multilocatie,V001,Mondriaan,Heerlen,John F. Kennedylaan 301,8622,14042230,2025,website|document|digimv|media,Concerncijfer versus Limburgse vestigingen,2281,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
legacy-v002,legacy_mixed,industrie,organisatie,V002,Okechamp B.V.,Horst aan de Maas,Venrayseweg 122,1039,12345601,2025,website|document|media,Document kan gemiddeld personeel in plaats van peilmoment noemen,138,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
legacy-v003,legacy_mixed,detailhandel,filiaal,V003,Jumbo Supermarkten B.V. - Filiaal,Venlo,Straelseweg 70,4711,17014800,2025,website|document|media,Landelijk of provinciaal totaal is geen filiaalgetal,2504,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
legacy-v004,legacy_mixed,zorg_institutioneel,multilocatie,V004,Stichting Pergamijn,Echt-Susteren,Pepinusbrug 2,8720,41067201,2025,website|document|digimv|media,Concernscope versus specifieke locatie,852,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
legacy-v005,legacy_mixed,vervoer,filiaal,V005,NS Groep,Maastricht,Stationsplein 1,4910,30124358,2025,website|document|media,Landelijk concerncijfer mag niet naar station worden vertaald,616,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
legacy-v006,legacy_mixed,overheid,organisatie,V006,Veiligheidsregio Limburg Noord,Venlo,Nijmeegseweg 42,8425,52917127,2025,website|document|media,Jaarstukken kunnen FTE en meerdere posten mengen,1230,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
legacy-v007,legacy_mixed,zorg_institutioneel,concern,V007,Zuyderland Medisch en Zorgconcern,Sittard-Geleen,Dr. H. van der Hoffplein 1,8610,14124204,2025,website|document|digimv|media,DigiMV-entiteiten en concernonderdelen niet blind optellen,10444,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
legacy-v008,legacy_mixed,industrie,multinational,V008,DSM-Firmenich,Sittard-Geleen,Poststraat 1,2014,14022069,2025,website|document|media,Wereldwijd of Nederlands totaal is geen Limburgse vestiging,586,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
legacy-v009,legacy_mixed,bouw,multilocatie,V009,Koninklijke BAM Groep N.V.,Maastricht,Gaetano Martinolaan 10,4120,30058019,2025,website|document|media,Concerncijfer en projectlocatie kunnen worden verward,153,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
legacy-v010,legacy_mixed,zorg_lokale_praktijk,lokale_vestiging,V010,Hallux Podotherapie,Roermond,Bredeweg 12,8691,12345610,2025,website|team_afspraak|digimv|media,Teamfoto of teamlijst kan onvolledig worden gecrawld,3,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
legacy-v011,legacy_mixed,lokale_teamdienst,lokale_vestiging,V011,Salon Handmade,Weert,Langstraat 8,9602,12345611,2025,website|team_afspraak|media,Boekingsmodule kan vollediger zijn dan teampagina,3,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
